x_cm,z_cm,inside_domain,ks_cm_per_day,head_cm,theta
54.50561797752809,1.1123595505617978,1,45.0,-555.92474,0.14351735
55.61797752808989,1.1123595505617978,1,45.0,-536.6387,0.14481312
56.73033707865169,1.1123595505617978,1,45.0,-517.64984,0.14616093
57.842696629213485,1.1123595505617978,1,45.0,-498.97208,0.14756297
58.95505617977528,1.1123595505617978,1,45.0,-480.6239,0.14902109
60.06741573033708,1.1123595505617978,1,45.0,-462.61633,0.15053771
61.17977528089888,1.1123595505617978,1,45.0,-444.96463,0.15211491
62.29213483146068,1.1123595505617978,1,45.0,-427.68024,0.15375507
63.40449438202248,1.1123595505617978,1,45.0,-410.7765,0.15546028
64.51685393258427,1.1123595505617978,1,45.0,-394.26193,0.15723315
65.62921348314607,1.1123595505617978,1,45.0,-378.14725,0.15907589
66.74157303370787,1.1123595505617978,1,45.0,-362.4409,0.16099092
67.85393258426967,1.1123595505617978,1,45.0,-347.14844,0.1629809
68.96629213483146,1.1123595505617978,1,45.0,-332.27774,0.16504803
70.07865168539327,1.1123595505617978,1,45.0,-317.8327,0.16719496
71.19101123595506,1.1123595505617978,1,45.0,-303.81796,0.16942397
72.30337078651685,1.1123595505617978,1,45.0,-290.2353,0.17173764
73.41573033707866,1.1123595505617978,1,45.0,-277.08646,0.17413835
74.52808988764045,1.1123595505617978,1,45.0,-264.37128,0.17662854
75.64044943820225,1.1123595505617978,1,45.0,-252.09047,0.17921025
76.75280898876404,1.1123595505617978,1,45.0,-240.24092,0.1818859
77.86516853932585,1.1123595505617978,1,45.0,-228.8198,0.18465768
78.97752808988764,1.1123595505617978,1,45.0,-217.82413,0.18752733
80.08988764044945,1.1123595505617978,1,45.0,-207.24802,0.19049703
81.20224719101124,1.1123595505617978,1,45.0,-197.08717,0.19356805
82.31460674157304,1.1123595505617978,1,45.0,-187.33496,0.19674188
83.42696629213484,1.1123595505617978,1,45.0,-177.98364,0.2000199
84.53932584269663,1.1123595505617978,1,45.0,-169.02657,0.20340264
85.65168539325843,1.1123595505617978,1,45.0,-160.45361,0.2068913
86.76404494382022,1.1123595505617978,1,45.0,-152.25766,0.2104854
87.87640449438203,1.1123595505617978,1,45.0,-144.42856,0.21418503
88.98876404494382,1.1123595505617978,1,45.0,-136.95663,0.2179895
90.10112359550563,1.1123595505617978,1,45.0,-129.8314,0.22189781
91.21348314606742,1.1123595505617978,1,45.0,-123.04335,0.2259078
92.32584269662922,1.1123595505617978,1,45.0,-116.58068,0.23001781
93.43820224719101,1.1123595505617978,1,45.0,-110.43327,0.23422459
94.55056179775282,1.1123595505617978,1,45.0,-104.58974,0.23852488
95.66292134831461,1.1123595505617978,1,45.0,-99.03972,0.24291396
96.7752808988764,1.1123595505617978,1,45.0,-93.77147,0.24738747
